episodes,timesteps,collision,success,success_rate
1,131,False,True,0.016666666666666666
2,176,True,False,0.016666666666666666
3,393,False,True,0.03333333333333333
4,411,True,False,0.03333333333333333
5,457,True,False,0.03333333333333333
7,566,False,True,0.05
8,725,False,True,0.06666666666666667
10,833,False,True,0.08333333333333333
11,995,False,True,0.1
12,1215,False,True,0.11666666666666667
13,1267,True,False,0.11666666666666667
14,1333,True,False,0.11666666666666667
15,1555,False,True,0.13333333333333333
16,1609,True,False,0.13333333333333333
17,1670,True,False,0.13333333333333333
18,1890,False,True,0.15
19,2006,False,True,0.16666666666666666
20,2168,False,True,0.18333333333333332
22,2275,False,True,0.2
23,2436,False,True,0.21666666666666667
24,2652,False,True,0.23333333333333334
25,2670,True,False,0.23333333333333334
26,2808,False,True,0.25
27,2847,True,False,0.25
28,2963,False,True,0.26666666666666666
29,3101,False,True,0.2833333333333333
30,3256,True,False,0.2833333333333333
31,3360,False,True,0.3
32,3405,True,False,0.3
33,3551,True,False,0.3
34,3669,False,True,0.31666666666666665
35,3836,False,True,0.3333333333333333
36,4042,False,True,0.35
37,4188,False,True,0.36666666666666664
38,4326,False,True,0.38333333333333336
39,4427,True,False,0.38333333333333336
40,4446,True,False,0.38333333333333336
41,4498,True,False,0.38333333333333336
42,4516,True,False,0.38333333333333336
43,4587,True,False,0.38333333333333336
44,4746,False,True,0.4
45,4761,True,False,0.4
46,4779,True,False,0.4
47,4856,True,False,0.4
48,5052,False,True,0.4166666666666667
49,5070,True,False,0.4166666666666667
50,5128,True,False,0.4166666666666667
51,5170,True,False,0.4166666666666667
52,5337,False,True,0.43333333333333335
53,5397,True,False,0.43333333333333335
54,5438,True,False,0.43333333333333335
55,5457,True,False,0.43333333333333335
56,5502,True,False,0.43333333333333335
57,5545,True,False,0.43333333333333335
58,5557,True,False,0.43333333333333335
59,5612,True,False,0.43333333333333335
60,5652,True,False,0.43333333333333335
61,5670,True,False,0.43333333333333335
62,5808,False,True,0.45
63,5848,True,False,0.45
